region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA25620,2144,13,6,103,0,2266,1735,4,0,19,3,1761,263,14,10,5,0,292,49,23,0,11,0,83,289,4,9,7,3,312,9,0,0,0,0,9,69,3,5,25,0,102,33,0,4,4,0,41,712,44,28,52,3,839,32,0,0,5,0,37,117,3,3,8,0,131,4740,64,37,187,6,5034
LGA25710,7202,158,51,12,3,7426,9433,142,105,7,3,9690,830,144,81,3,3,1061,49,23,39,0,0,111,452,41,28,5,0,526,13,10,36,0,0,59,43,5,0,3,0,51,59,6,6,0,0,71,1446,229,190,11,3,1879,78,10,4,0,0,92,245,16,14,0,0,275,18404,555,364,30,9,19362
LGA25810,2067,37,10,26,0,2140,1395,6,3,15,4,1423,335,30,57,0,0,422,96,22,30,0,0,148,255,16,11,6,0,288,26,10,4,0,0,40,61,7,3,9,0,80,41,3,4,0,0,48,814,88,109,15,0,1026,28,0,0,0,0,28,107,6,8,31,0,152,4411,137,130,87,4,4769
LGA25900,2537,2545,3208,27,4,8321,2130,2613,5418,36,5,10202,1127,2126,12975,112,3,16343,32,405,1535,0,0,1972,411,645,2434,44,3,3537,21,22,168,0,3,214,15,26,116,0,0,157,52,55,171,3,0,281,1658,3279,17399,159,9,22504,29,38,115,0,0,182,153,149,554,5,0,861,6507,8624,26694,227,18,42070
LGA25990,1378,0,0,26,0,1404,764,0,0,8,3,775,48,0,5,3,0,56,3,8,6,0,0,17,226,0,15,3,0,244,3,0,0,0,0,3,42,0,0,3,0,45,32,0,0,3,0,35,354,8,26,12,0,400,25,0,0,0,0,25,78,0,3,3,0,84,2599,8,29,49,3,2688
LGA26080,627,41,8,0,0,676,221,3,3,3,0,230,91,21,6,3,0,121,3,10,0,0,0,13,67,3,6,3,0,79,0,14,0,0,0,14,35,0,0,3,0,38,16,0,0,0,0,16,212,48,12,9,0,281,0,0,0,0,0,0,22,4,3,0,0,29,1082,96,26,12,0,1216
LGA26170,4436,55,69,28,3,4591,3479,16,16,19,0,3530,670,61,64,4,0,799,94,44,22,0,0,160,603,17,21,11,0,652,14,28,11,0,0,53,127,0,0,13,0,140,119,7,0,5,0,131,1627,157,118,33,0,1935,89,8,12,0,0,109,244,18,21,4,0,287,9875,254,236,84,3,10452
LGA26260,2919,32,39,13,0,3003,1777,11,14,7,0,1809,341,11,117,4,0,473,143,9,39,0,0,191,467,8,29,12,0,516,17,0,42,0,0,59,120,3,5,18,0,146,66,3,6,5,0,80,1154,34,238,39,0,1465,61,0,5,3,0,69,165,0,18,7,0,190,6076,77,314,69,0,6536
LGA26350,6992,2244,2605,21,6,11868,4649,1721,2730,16,3,9119,1667,1959,8709,62,4,12401,16,119,937,0,3,1075,686,562,1576,34,7,2865,16,32,171,0,0,219,28,33,101,7,5,174,70,55,125,5,0,255,2483,2760,11619,108,19,16989,89,33,151,0,0,273,302,140,408,4,0,854,14515,6898,17513,149,28,39103
LGA26430,1711,9,38,57,0,1815,1038,5,8,48,0,1099,251,6,41,7,0,305,37,13,11,0,0,61,191,6,14,15,0,226,5,0,9,0,0,14,52,0,9,11,0,72,53,0,3,5,0,61,589,25,87,38,0,739,34,0,4,3,0,41,110,3,12,26,5,156,3482,42,149,172,5,3850
